ID,Feature / journey,Surface,Ownership,Preconditions,Input path,Expected behavior / covered states,Test ID,Result,Evidence,Limitations
M11,Path/link/credential boundaries,Shared,Implemented by NexusIDE,Traversal/link/secret fixtures,API and file-tool requests,"Reject traversal, symbolic/hard links, Windows aliases, credentials",core / Q04,Passed,qa-final-smoke.log,Adversarial OS-level path replacement during a syscall is outside this finite audit
M12,Permission denial,Shared,Implemented by NexusIDE,Unreadable/unwritable file,Read/save,Error should preserve buffer and original file,E14,Passed,qa-autosave-permission.log,Actual POSIX EACCES on macOS; Windows ACL denial unverified
M13,External changes and deleted open files,Browser/shared,Implemented by NexusIDE,Open clean/dirty document,External write/delete; compare dialog,Clean refresh; dirty preserved; reviewed version required; recreate deleted only explicitly,E03 / E10 / Q03,Passed,qa-browser-stable.log,Five-second snapshot polling; no filesystem event watcher
M14,Multiple tabs and dirty/active indicators,Browser,Implemented by NexusIDE,1/20/100 documents,Explorer; tabs; close,Independent documents; overflow; visible dirty state; limit disclosure,E01 / E02 / S02,Passed,stress-editor.json; after-ide-100-documents.png,
M15,"Selection, scroll and undo per document",Browser,Implemented by NexusIDE,Several documents,Type; switch; undo/redo,Per-document state; undo boundaries at view changes,E01 / E04 / E11,Passed,qa-browser-stable.log; qa-editor-race-reliability.log,"Numerical long-scroll restoration, selection via go-to-line edits and independent/shared undo verified; every split-scroll combination is not asserted"
M16,Tab drag reorder and group moves,Browser,Implemented by NexusIDE,Multiple open tabs/groups,Real pointer drag; Commands alternative,Reorder; move; active view retained,E04 / E06,Passed,qa-poll-regression.log; qa-stress-ui-rerun.log,
M17,Edge drops and cancelled drag,Browser,Implemented by NexusIDE,Open file/tab,Pointer edge drop; Escape,Right/below split; aborted drag leaves documents intact,E06,Passed,qa-stress-ui-rerun.log,Physical touch and native zoom pointer coordinates unverified
M18,"Horizontal/vertical splits, resize, focus, close",Browser,Implemented by NexusIDE,Up to four groups,Buttons; separator arrows/pointer; commands,Both axes; keyboard resize; shared content; move tabs when closing group; limit,E01 / E02 / E04 / E09 / E15 / S01 / S02,Passed,after-ide.png; qa-pointer-search.log; stress-editor.json,Pointer and keyboard resizing verified; physical touch and drag coordinates at native zoom remain unverified
M19,Shared document views,Browser,Implemented by NexusIDE,Same path in two groups,Type/undo in either; close one view,Content/history synchronize; closing one view retains document,E01 / E02 / E04,Passed,qa-poll-regression.log,
M20,"Save, Save All, duplicate saves, newer typing",Browser/shared,Implemented by NexusIDE,Dirty buffer; delayed transport,Click; Cmd/Ctrl+S and Shift,Serialize saves; newer keystrokes remain dirty; no no-op conflict,E01 / E05 / E09 / Q03,Passed,qa-browser-stable.log,Browser ControlOrMeta uses current macOS convention; physical Windows shortcuts unverified
M21,Autosave,Browser,Implemented by NexusIDE,Autosave enabled,Checkbox; idle typing,Save after 1.5 seconds idle with CAS conflicts intact,E13,Passed,qa-autosave-permission.log,Idle save verified; every autosave/external-change timing combination unverified
M22,Save/Discard/Cancel last-view close,Browser,Implemented by NexusIDE,Dirty document,Dialog buttons; Escape,Cancel preserves; save closes after success; discard is explicit,E02 / E13,Passed,qa-browser-stable.log; qa-autosave-permission.log,"Save, Cancel and Discard asserted against real disk contents"
M23,Reload and recovery,Browser/VS Code,Implemented by NexusIDE,Recovery saved,Reload; panel dispose/reopen,Content/layout restored; close warning; recovery errors visible,E01 / VS suite,Passed,qa-poll-regression.log; vscode-integration.json,Undo history restarts after reload; no guarantee for unacknowledged keystrokes at power loss
M24,Interrupted multi-file write recovery,Shared,Implemented by NexusIDE,Prepared journal; partial apply,New save after interruption,Recover old consistent contents; external conflict preserves journal/files,Q07,Passed,qa-final-smoke.log,Deterministic interrupted-state fixture; physical power loss/fsync guarantees untested
M25,Indent/newline/comments/word wrap,Browser,Implemented by NexusIDE,CodeMirror document,Tab/Shift+Tab; Enter; Cmd/Ctrl+/; Commands,CodeMirror language conventions and wrap,E07,Passed,qa-editor-language.log,
M26,Find/replace/case/regex feedback,Browser,Implemented by NexusIDE,Text document,Cmd/Ctrl+F; panel fields/buttons,Replacement; invalid regex announcement; case controls,E04 / E07 / E15,Passed,qa-browser-complete.log; qa-pointer-search.log,"Find/replace, case-sensitive behavior and invalid regex feedback verified; not every regex expression is covered"
M27,Go-to-line/brackets/line movement,Browser,Implemented by NexusIDE,CodeMirror language document,Commands and CodeMirror shortcuts,Native editor-component behavior,E11 / E15,Passed,qa-browser-complete.log; qa-pointer-search.log,"Go-to-line, line movement and matching-bracket decoration verified in the tested language/document"
M28,Copy/cut/paste and multiple cursors,Browser,Implemented by NexusIDE,Editor focus/clipboard access,Standard shortcuts; selection commands,CodeMirror editing and undo grouping,E11 / E04,Partial,qa-browser-stable.log,Multicursor replacement and multiline input verified; real system clipboard round trip unverified
M29,Unicode/emoji/combining/CRLF/LF,Browser/shared,Implemented by NexusIDE,Unicode CRLF fixture,"Type, save, reopen",Preserve text and line endings,E07 / C01,Passed,qa-editor-language.log,Real IME composition remains unverified
M30,IME and physical touch,Browser,Unavailable in this environment,Real IME/touch hardware,Composition; fingers,Editing and touch targets should behave correctly,—,Blocked,—,Synthetic composition/touch would not prove hardware behavior
M31,Syntax highlighting,Browser,Implemented by NexusIDE,JS/TS/JSON/Python/HTML/CSS/Markdown,Open/edit,Language syntax and bracket/indent component extensions,E04 / screenshots,Partial,after-ide.png,All advertised languages not individually syntax-tested
M32,"Browser LSP, formatting, diagnostics, symbols, debugger, terminal",Browser,Separate product capability,Separate feature implementation,—,Not advertised as working browser features,Inventory,Untested,README.md,Use actual VS Code host capabilities; no decorative controls added
M33,Quick-open/commands/sidebar/group shortcuts,Browser,Implemented by NexusIDE,IDE active,Cmd/Ctrl+P; Shift+P; B; backslash; group/tab navigation,Keyboard ownership and dialog Escape,E04 / E09 / V01,Partial,qa-browser-stable.log,"Save/Save All, quick-open/palette, tab arrows/Ctrl+PageUp, sidebar and group focus verified; physical Windows/Ctrl variants and shortcut split keys not all asserted"
M34,Dialog focus trapping and return,Browser,Implemented by NexusIDE,Dialog trigger focused,Open; Tab; Escape,Native modal focus; autofocus input; restore trigger,V01,Passed,after-dialog-small.png,Real screen-reader announcement unverified
M35,Native browser zoom keys,Browser,Host-provided,Foreground desktop browser,Plus/Equal; Minus; 0,Host owns zoom; app does not intercept,Code review,Blocked,Native OS AppleEvent query timed out (-1712),No viewport/CSS transform used as shortcut proof
M36,VS Code zoom commands and 80–200% host configuration,VS Code,Host-provided,Installed VSIX; isolated profile,Host commands; real window zoom; keyboard dialog,Actual renderer scale changes; inspect screenshots and frame bounds,VS suite,Partial,vscode-integration.json; native-zoom-80.png through native-zoom-200.png,Actual host DPR and keyboard dialog at 80–200% in a joined host group; physical shortcuts and pointer/caret alignment remain unverified
M37,No configured provider and invalid credential,Shared/browser,Implemented by NexusIDE,Missing key / fixture 401,Submit task,Honest error; no fabricated completion/verification,core / provider tests,Passed,qa-final-smoke.log,No live credentials used
M38,Credential save/replace/remove,Browser/VS Code,Implemented by NexusIDE,Configured model key name,Settings controls,Memory or SecretStorage; removal blocks fallback for session,P01,Partial,qa-browser-stable.log,Browser session save/replacement/removal and no key in state verified; actual VS Code OS keychain round trip unverified
M39,Manual model and automatic routing,Shared/browser,Implemented by NexusIDE,Configured local fixtures,Selectors; submit,"Tier/capability/cost route, immutable snapshot",core / OpenRouter / workspace tests,Passed,qa-final-smoke.log,
M40,OpenRouter catalog/search/import/duplicates,Browser/shared,Implemented by NexusIDE,Provider-boundary catalog fixture,Load; search; Add,Filter agent-capable models; duplicate disabled; persistence,workspace catalog / OpenRouter unit tests,Passed,qa-browser-full.log,Unavailable/deleted production catalog models not live-tested
M41,"OpenRouter preferences, ceilings, fallback/privacy/modalities",Browser/shared,Implemented by NexusIDE,Configured model,Settings; provider fixture request,"Serialize routing, ceilings, ZDR, fallback and supported inputs",OpenRouter tests / catalog UI,Passed,qa-final-smoke.log,Provider enforcement and production pricing not verified
M42,Media boundaries,CLI/shared,Implemented by NexusIDE,Local media fixtures,Repeated --attach; service inputs,Up to 5 / 20 MB decoded bytes; invalid base64 rejected,C04 / Q09 / provider tests,Passed,qa-final-smoke.log; qa-installed-cli.log,Real content decoding/inference quality unverified
M43,Plan/read/propose/review/apply/tests/result,Browser/shared,Implemented by NexusIDE,Fresh local workspace,Actual review/apply/test buttons,Distinct approvals; real files and real node tests; truthful evaluation,workspace journey / core offline journey,Passed,qa-browser-full.log,
M44,Reject/cancel/resume/restart,Browser/CLI/shared,Implemented by NexusIDE,Pending/running/interrupted run,"Reject, cancel, resume, SIGINT",No denied writes; cancellation persisted; interrupted task recoverable,core recovery / C01 / C04,Passed,qa-final-smoke.log; qa-installed-cli.log,Every timing boundary is not exhaustively covered
M45,"Delayed old approval, two clients, replay",Browser/shared,Implemented by NexusIDE,Action A replaced by B,Two-window click and held transport; concurrent decisions,A never approves B; one execution; no status corruption,Q01 / Q02 / A01,Passed,qa-poll-regression.log,
M46,Duplicate submissions,Shared,Implemented by NexusIDE,Same request UUID,Concurrent client POSTs,One persisted run; UI submission guarded synchronously,Q06,Passed,qa-final-smoke.log,Semantically different requests with identical caller UUID are not a supported client pattern
M47,File edited after proposal,Shared,Implemented by NexusIDE,Staged preimage,Manual save then approve,Reject all stale preimages before any write,core / Q03,Passed,qa-final-smoke.log,
M48,Budget/step limits and provider faults,Shared,Implemented by NexusIDE,Controllable provider,Local HTTP errors / limits,Budget guard; retryable fallback; auth failure; cancellation,providers / recovery tests,Partial,qa-final-smoke.log,"Full timeout duration, every malformed schema and disconnect combination not tested"
M49,"Trace integrity, export, evaluations and reported cost",Browser/shared,Implemented by NexusIDE,Runs with real tool evidence,Trace tab; export; evaluation,Hash verification; truthful test/evaluation status; provider cost capture,core / OpenRouter / S03 / workspace journey,Passed,qa-final-smoke.log; stress-runs.json,JSONL export content covered by backend; actual browser download click not separately asserted
M50,Hundreds of runs/long trace/long diff,Browser/shared,Implemented by NexusIDE,"201 runs; 350 additional events; 2,000 diff lines",History filter; paging; trace load-more,Bounded rendering; all pages inspectable; chain intact,S03,Passed,stress-runs.json,
M51,CLI installation and JSON/exit status,macOS CLI,Implemented by NexusIDE,Actual npm archive installed in clean prefix,Commands/subprocess args,Valid JSON; revision/error statuses; no status chatter,C01–C04,Passed,qa-cli-installed-stable.log,Fresh actual npm archive installed locally; see package manifest
M52,CLI Linux runtime,Linux container,Implemented by NexusIDE,Node22 Alpine; network disabled,Install archive; demo --yes --host,Real executable and tests in Linux/Unicode path,Linux actual package installation,Passed,qa-linux-installed-stable.log,Node 22 Alpine container with network disabled; not Linux desktop or every shell
M53,Windows/PowerShell/npm.cmd and Node lookup,Windows CLI/VS Code,Unavailable in this environment,Windows runner,Native PowerShell / extension host,Cross-platform path/execution behavior,Configured CI,Blocked,.github/workflows/ci.yml,This local revision has not run on Windows; code checks and Linux/macOS are not Windows evidence
M54,Interactive CLI prompt,Terminal,Implemented by NexusIDE,TTY,Approve/reject text prompts,Review actual action; quoted recovery command,POSIX PTY two scenarios,Passed,cli-pty.json; qa-pty-installed-stable.log,Actual pseudo-terminal y/n approval and Ctrl+C at pending approval verified; Windows terminal and full chat conversation unverified
M55,VSIX actual install/activation/webview/native save,VS Code,Implemented by NexusIDE,Clean profile with local VSIX,Commands; actual webview click/type/save,Installed artifact works beside native editor,VS suite,Passed,qa-vsix-installed-stable.log; vscode-integration.json,Actual package installed into a clean profile
M56,"Native file editing, splits and host integrations",VS Code,Host-provided,Clean native editor,API editing/saving; split command,Files persist; existing editor retained,VS suite,Partial,vscode-integration.json,Native API edit/save and split verified; foreground comment/undo/physical shortcut assertions blocked and retained in suite
M57,Inline suggestion accept/dismiss/stale edits,VS Code,Implemented by NexusIDE,Real model credential or controllable host model fixture,Completion command; type; accept/dismiss,Stale document version rejects suggestion,Code inventory,Untested,src/extension/index.ts,No live inference or complete host suggestion lifecycle test
M58,Webview dispose/reopen/theme/trust,VS Code,Implemented by NexusIDE,Clean installed profile,Close/reopen; host theme change,Panel reopens; recovery remains; trust gate exists,VS suite,Partial,vscode-integration.json,Actual trust-denial UI and full host reload/crash sequence unverified
M59,Docker allowed browser and denied domains,Shared/Docker,Implemented by NexusIDE,Docker running; isolated network,Approved fixture browser actions,Allowlist works; denied URL/protocol refused,sandbox integration,Passed,qa-sandbox-rerun.log,Baseline first attempt failed at Docker network creation; retained as M60
M60,Baseline Docker network creation,Docker,Host-provided,Original check before edits,Existing integration command,Expected internal network creation; received HTTP500,baseline sandbox,Failed (baseline),qa-baseline/sandbox.log,Rerun later passed; no root-cause claim beyond daemon response
M61,Docker unavailable/slow/interrupted cleanup,Shared/Docker,Implemented by NexusIDE,Unavailable daemon or cancellation,Test launch/cancel,Honest failure; owned resource cleanup,—,Untested,—,Did not stop user Docker daemon or interrupt unrelated containers
M62,Concurrent file clients,Shared,Implemented by NexusIDE,Two workspace instances,Racing save/apply,Exactly one preimage match; other conflict; no lost update,Q03,Passed,qa-final-smoke.log,
M63,"1,200 entry/depth and 10,000-file over-limit",Shared/browser,Implemented by NexusIDE,Tier fixture,Index/search/exact path,Bound remains; explicit limited state,Q05 / performance,Passed,performance.json,Dedicated deep-tree and max-OS-path-length fixture untested
M64,Seeded randomized navigation,Browser,Implemented by NexusIDE,100 docs,"Seed 230923, 50 selections","No render errors, preserved groups and documents",S02,Passed,stress-editor.json,Not an exhaustive state-space search
M65,30-minute browser soak,Browser/shared,Implemented by NexusIDE,Local fixture; exact bundle/source hash,Repeated edits/saves/groups/modes/runs,No errors/loss; at most one poll; memory/CPU observed,S01,Passed,soak-final-stable.json; qa-soak-final-stable.log,"Completed elapsed duration, heap/CPU and request limits are in QA-REPORT.md; earlier failed/interrupted engineering runs remain separate"
M66,Poll overlap on run selection,Browser,Implemented by NexusIDE,Old response delayed,Click A then B,B waits; A result discarded; one in-flight request,A02 / S01,Passed,qa-browser-stable.log; soak-final-stable.json,One state and one selected-run request in flight per client in this workload
M67,Performance budgets and before/after,Browser/shared,Implemented by NexusIDE,Same generated tiers and machine,Five fresh contexts per tier,Measure targets honestly; no timeout relaxation,performance / S02 / S03,Partial,performance.json; stress-editor.json; stress-runs.json,"File-open budget misses and sample limits are reported in performance.md. p95 of five is the maximum; input event-to-paint is browser-event timing, not physical-key latency"
M68,Desktop/small/high-DPI/reduced-motion visuals,Browser/VS Code,Implemented by NexusIDE,1536×1024;390×844; native Retina,Actual input/screenshots,No page overflow; contained scrolling; reachable dialogs,V01 / VS suite,Passed,after-ide.png; after-ide-small.png; native-zoom-*.png,"Physical touchscreen, Safari and native browser zoom unverified"
M69,Accessibility semantics/contrast/focus,Browser,Implemented by NexusIDE,100 docs/four groups,Axe + actual keyboard/dialog checks,No critical/serious scan violations; focused controls visible,S02 / V01,Passed,accessibility-ide.json,Scanner result is not full accessibility conformance or real assistive-technology verification
M70,Original session/release preservation,Workspace/GitHub,Implemented by NexusIDE,Original clean checkout; :4317,Read-only status; isolated worktree/ports,"No original changes, no push/tag/merge/release",Baseline/final status,Passed,qa-state.md; local branch,Artifacts are local and unpublished
M71,Rapid file selection with a slow earlier load,Browser,Implemented by NexusIDE,File B response held; A already open,Click B then A; release B,A stays active; loaded B remains a background tab,E12,Passed,qa-editor-race-reliability.log,Ten independent fixtures; no retries
